bodyId,px,py,count
10145,94,61,17
10145,102,49,5
10145,94,60,78
10145,103,51,16
10145,164,57,194
10145,155,41,49
10145,101,62,38
10145,95,63,47
10145,88,60,22
10145,100,65,13
10145,92,50,2
10145,108,57,3
10145,91,60,27
10145,132,53,1
10145,94,57,15
10145,99,63,85
10145,90,60,54
10145,105,58,18
10145,94,62,65
10145,117,59,8
10145,155,40,2
10145,99,58,27
10145,99,49,19
10145,94,67,4
10145,103,58,16
10145,162,52,249
10145,117,51,3
10145,92,65,41
10145,95,61,74
10145,96,61,31
10145,100,59,10
10145,90,64,73
10145,160,58,59
10145,167,37,94
10145,99,60,21
10145,91,59,6
10145,97,57,23
10145,98,61,64
10145,155,64,320
10145,97,54,15
10145,88,63,39
10145,98,57,18
10145,92,60,55
10145,97,43,2
10145,90,66,7
10145,87,63,35
10145,96,63,45
10145,86,61,16
10145,93,62,51
10145,95,64,41
10145,96,64,50
10145,102,58,16
10145,101,58,42
10145,102,60,23
10145,86,59,4
10145,100,62,78
10145,92,61,52
10145,151,57,20
10145,96,62,50
10145,98,64,42
10145,101,63,16
10145,99,62,54
10145,102,61,7
10145,87,61,12
10145,89,58,2
10145,91,61,36
10145,84,68,4
10145,77,71,7
10145,101,57,21
10145,91,65,25
10145,98,60,57
10145,102,59,13
10145,108,58,4
10145,98,62,55
10145,98,53,17
10145,98,59,28
10145,102,57,11
10145,99,55,17
10145,169,64,76
10145,95,58,20
10145,96,54,17
10145,89,59,9
10145,96,60,45
10145,153,58,2
10145,103,59,17
10145,155,36,48
10145,150,61,42
10145,97,64,46
10145,155,63,89
10145,96,52,11
10145,97,63,43
10145,97,65,25
10145,93,50,1
10145,94,59,28
10145,96,58,44
10145,94,63,47
10145,97,58,34
10145,91,67,19
10145,94,64,63
10145,103,60,13
10145,114,57,2
10145,113,57,4
10145,143,51,3
10145,99,59,28
10145,96,57,26
10145,96,48,2
10145,93,59,12
10145,93,60,22
10145,163,54,100
10145,103,52,2
10145,86,69,5
10145,161,54,1
10145,153,64,1
10145,95,59,37
10145,95,60,25
10145,88,62,30
10145,88,61,23
10145,89,63,21
10145,90,63,15
10145,89,60,9
10145,91,62,52
10145,87,64,24
10145,86,64,4
10145,86,65,30
10145,87,65,15
10145,92,63,66
10145,99,64,75
10145,94,52,4
10145,87,60,23
10145,86,68,6
10145,93,63,94
10145,97,62,38
10145,91,66,11
10145,90,67,16
10145,94,66,21
10145,96,65,22
10145,91,50,2
10145,100,49,7
10145,89,62,57
10145,99,61,28
10145,100,50,2
10145,94,58,18
10145,95,62,27
10145,92,66,18
10145,93,67,4
10145,98,49,40
10145,158,53,18
10145,100,55,22
10145,100,56,10
10145,87,62,16
10145,90,62,47
10145,89,64,22
10145,92,62,30
10145,101,61,8
10145,102,62,5
10145,94,65,42
10145,95,65,58
10145,98,63,19
10145,96,66,9
10145,100,63,18
10145,95,68,11
10145,100,61,26
10145,91,63,53
10145,91,64,53
10145,90,65,16
10145,93,64,48
10145,162,69,19
10145,92,57,15
10145,92,53,6
10145,93,53,2
10145,104,63,4
10145,112,56,4
10145,113,58,3
10145,106,62,2
10145,105,59,5
10145,93,61,43
10145,86,63,38
10145,99,65,16
10145,97,47,13
10145,98,47,16
10145,98,48,14
10145,94,45,2
10145,93,48,6
10145,98,52,14
10145,95,51,13
10145,97,53,13
10145,96,50,11
10145,157,58,34
10145,164,55,98
10145,162,56,98
10145,158,67,18
10145,95,57,10
10145,93,65,12
10145,93,57,15
10145,92,54,3
10145,94,54,14
10145,101,49,1
10145,93,58,5
10145,102,51,21
10145,99,52,36
10145,95,54,16
10145,168,60,2
10145,167,61,34
10145,166,61,3
10145,83,68,1
10145,81,68,1
10145,165,63,41
10145,164,63,5
10145,161,62,83
10145,163,61,3
10145,86,62,28
10145,95,52,15
10145,99,47,12
10145,100,48,4
10145,99,50,27
10145,97,61,32
10145,98,55,18
10145,98,54,17
10145,98,56,4
10145,99,53,28
10145,97,60,28
10145,97,52,19
10145,97,56,12
10145,96,56,11
10145,159,61,5
10145,150,37,9
10145,100,64,13
10145,91,52,2
10145,91,53,5
10145,92,55,22
10145,97,51,13
10145,110,56,2
10145,110,55,2
10145,107,57,6
10145,106,57,2
10145,104,58,2
10145,98,50,8
10145,104,59,6
10145,100,58,12
10145,100,57,17
10145,98,58,25
10145,97,59,21
