pre,post,syn
PSI_R,DNp01_R,36
PSI_L,DNp01_R,6
TTMn_R,DNp01_R,2
LC4_R,DNp01_R,2580
LPLC2_R,DNp01_R,2220
PVLP151_L,DNp01_R,256
PVLP151_R,DNp01_R,13
DNp11_R,DNp01_R,5
DNp01_L,DNp01_R,1
PSI_R,DNp01_L,1
TTMn_L,DNp01_L,1
PSI_L,DNp01_L,52
LPLC2_L,DNp01_L,2642
LC4_L,DNp01_L,3782
PVLP151_L,DNp01_L,8
PVLP151_R,DNp01_L,326
DNp11_L,DNp01_L,5
DNp11_R,DNp01_L,108
DNp01_R,DNp01_L,1
LC6_R,LC6_R,2752
LC6_L,LC6_L,2658
LC10a_L,LC6_L,32
LPLC2_R,LC6_R,28
LC10a_R,LC6_R,38
LPLC2_L,LC6_L,17
LC4_R,LC6_R,17
LC4_L,LC6_L,11
PVLP151_R,LC6_R,11
LC10a_L,LC10a_L,12054
LC6_L,LC10a_L,145
LPLC2_L,LC10a_L,39
LC10a_R,LC10a_R,13190
LC4_R,LC10a_R,72
LC6_R,LC10a_R,262
LPLC2_R,LC10a_R,59
LC4_L,LC10a_L,54
AOTU019_L,LC10a_L,10
AOTU025_L,LC10a_L,12
AOTU025_R,LC10a_R,8
AOTU012_R,LC10a_R,1
AOTU001_L,LC10a_L,1
AOTU015_L,LC10a_L,3
AOTU015_R,LC10a_R,4
DNp11_R,LC10a_R,2
AOTU019_R,LC10a_R,1
AOTU012_L,LC10a_L,3
DNp09_R,DNa01_R,3
DNa03_R,DNa01_R,5
AOTU012_R,DNa01_R,1
AOTU019_L,DNa01_R,36
AOTU019_R,DNa01_R,3
DNa03_L,DNa01_L,3
AOTU019_R,DNa01_L,23
AOTU001_R,AOTU025_R,1
LC10a_R,AOTU025_R,3728
DNa03_R,AOTU025_R,7
AOTU019_L,AOTU025_R,1
AOTU019_R,AOTU025_R,3
LC10a_L,AOTU025_L,3303
DNa02_L,AOTU025_L,1
DNa03_L,AOTU025_L,6
AOTU019_R,AOTU025_L,1
DNp01_R,TTMn_R,70
DNp01_L,TTMn_L,20
LC6_L,PVLP151_L,1123
LPLC2_L,PVLP151_L,3265
LC4_L,PVLP151_L,820
LPLC2_R,PVLP151_L,150
